agents,rounds,Nevals,agreement,std
7,2,30,0.63,0.04554200340426488
7,1,30,0.55,0.0
6,3,30,0.69,0.062063289083417524
6,2,30,0.64,0.0547722557505166
6,1,30,0.52,0.04554200340426488
5,4,30,0.79,0.05271205021
5,3,30,0.73,0.0680413817439771
5,2,30,0.61,0.03277306934167249
5,1,30,0.53,0.0327730693416725
3,5,30,0.89,0.0904720132703212
3,3,30,0.84,0.086066296582387
3,2,30,0.69,0.0547722557505166
3,1,30,0.52,0.0
2,7,30,0.94,0.0507218423253028
2,5,30,0.92,0.0942497612342406
2,3,30,0.89,0.087981479532574
2,1,30,0.49,0.0455420034042648
